kind,warehouse_code,warehouse_name,scan_prefix,zone,shelf,bin,zone_scan,shelf_scan,bin_scan,product_sku,qty,source
bin,STR,Stock Room,STR,A,S031,04,STR.A,STR.AS031,STR.AS031.04,,0,bin
bin,STR,Stock Room,STR,A,S04,01,STR.A,STR.AS04,STR.AS04.01,SHKI,1234,bin
bin,STR,Stock Room,STR,A,S04,02,STR.A,STR.AS04,STR.AS04.02,KDMT,1234,bin
bin,STR,Stock Room,STR,A,S04,03,STR.A,STR.AS04,STR.AS04.03,BYMT,1234,bin
bin,STR,Stock Room,STR,A,S04,04,STR.A,STR.AS04,STR.AS04.04,JWYL,1234,bin
bin,STR,Stock Room,STR,A,S05,01,STR.A,STR.AS05,STR.AS05.01,JAGP,1234,bin
bin,STR,Stock Room,STR,A,S05,02,STR.A,STR.AS05,STR.AS05.02,JAGR,1234,bin
bin,STR,Stock Room,STR,A,S05,03,STR.A,STR.AS05,STR.AS05.03,JAGF,1234,bin
bin,STR,Stock Room,STR,A,S056,01,STR.A,STR.AS056,STR.AS056.01,,0,bin
bin,STR,Stock Room,STR,A,S056,02,STR.A,STR.AS056,STR.AS056.02,,0,bin
bin,STR,Stock Room,STR,A,S056,03,STR.A,STR.AS056,STR.AS056.03,,0,bin
bin,STR,Stock Room,STR,A,S056,04,STR.A,STR.AS056,STR.AS056.04,,0,bin
bin,STR,Stock Room,STR,A,S06,01,STR.A,STR.AS06,STR.AS06.01,,0,bin
bin,STR,Stock Room,STR,A,S06,02,STR.A,STR.AS06,STR.AS06.02,,0,bin
bin,STR,Stock Room,STR,A,S06,03,STR.A,STR.AS06,STR.AS06.03,,0,bin
bin,STR,Stock Room,STR,A,S06,04,STR.A,STR.AS06,STR.AS06.04,,0,bin
bin,STR,Stock Room,STR,A,S081,01,STR.A,STR.AS081,STR.AS081.01,,0,bin
bin,STR,Stock Room,STR,A,S081,02,STR.A,STR.AS081,STR.AS081.02,,0,bin
bin,STR,Stock Room,STR,A,S081,03,STR.A,STR.AS081,STR.AS081.03,,0,bin
bin,STR,Stock Room,STR,A,S081,04,STR.A,STR.AS081,STR.AS081.04,,0,bin
bin,STR,Stock Room,STR,A,S106,01,STR.A,STR.AS106,STR.AS106.01,,0,bin
bin,STR,Stock Room,STR,A,S106,02,STR.A,STR.AS106,STR.AS106.02,,0,bin
bin,STR,Stock Room,STR,A,S106,03,STR.A,STR.AS106,STR.AS106.03,,0,bin
bin,STR,Stock Room,STR,A,S106,04,STR.A,STR.AS106,STR.AS106.04,,0,bin
bin,STR,Stock Room,STR,A,S131,01,STR.A,STR.AS131,STR.AS131.01,,0,bin
bin,STR,Stock Room,STR,A,S131,02,STR.A,STR.AS131,STR.AS131.02,,0,bin
bin,STR,Stock Room,STR,A,S131,03,STR.A,STR.AS131,STR.AS131.03,,0,bin
bin,STR,Stock Room,STR,A,S131,04,STR.A,STR.AS131,STR.AS131.04,,0,bin
bin,STR,Stock Room,STR,A,S156,01,STR.A,STR.AS156,STR.AS156.01,,0,bin
bin,STR,Stock Room,STR,A,S156,02,STR.A,STR.AS156,STR.AS156.02,,0,bin
bin,STR,Stock Room,STR,A,S156,03,STR.A,STR.AS156,STR.AS156.03,,0,bin
bin,STR,Stock Room,STR,A,S156,04,STR.A,STR.AS156,STR.AS156.04,,0,bin
bin,STR,Stock Room,STR,A,S181,01,STR.A,STR.AS181,STR.AS181.01,,0,bin
bin,STR,Stock Room,STR,A,S181,02,STR.A,STR.AS181,STR.AS181.02,,0,bin
bin,STR,Stock Room,STR,A,S181,03,STR.A,STR.AS181,STR.AS181.03,,0,bin
bin,STR,Stock Room,STR,A,S181,04,STR.A,STR.AS181,STR.AS181.04,,0,bin
bin,STR,Stock Room,STR,A,S206,01,STR.A,STR.AS206,STR.AS206.01,,0,bin
bin,STR,Stock Room,STR,A,S206,02,STR.A,STR.AS206,STR.AS206.02,,0,bin
bin,STR,Stock Room,STR,A,S206,03,STR.A,STR.AS206,STR.AS206.03,,0,bin
bin,STR,Stock Room,STR,A,S206,04,STR.A,STR.AS206,STR.AS206.04,,0,bin
bin,STR,Stock Room,STR,B,S001,01,STR.B,STR.BS001,STR.BS001.01,,0,bin
bin,STR,Stock Room,STR,B,S001,02,STR.B,STR.BS001,STR.BS001.02,,0,bin
bin,STR,Stock Room,STR,B,S001,03,STR.B,STR.BS001,STR.BS001.03,,0,bin
bin,STR,Stock Room,STR,B,S001,04,STR.B,STR.BS001,STR.BS001.04,,0,bin
bin,STR,Stock Room,STR,B,S01,01,STR.B,STR.BS01,STR.BS01.01,RFLW,1234,bin
bin,STR,Stock Room,STR,B,S01,02,STR.B,STR.BS01,STR.BS01.02,,0,bin
bin,STR,Stock Room,STR,B,S01,03,STR.B,STR.BS01,STR.BS01.03,CHWH,1234,bin
bin,STR,Stock Room,STR,B,S01,04,STR.B,STR.BS01,STR.BS01.04,CHBK,1234,bin
bin,STR,Stock Room,STR,B,S01,05,STR.B,STR.BS01,STR.BS01.05,CHDL,1234,bin
bin,STR,Stock Room,STR,B,S02,01,STR.B,STR.BS02,STR.BS02.01,RRFL,1234,bin
bin,STR,Stock Room,STR,B,S02,02,STR.B,STR.BS02,STR.BS02.02,,0,bin
bin,STR,Stock Room,STR,B,S02,03,STR.B,STR.BS02,STR.BS02.03,RCWP,1234,bin
bin,STR,Stock Room,STR,B,S02,04,STR.B,STR.BS02,STR.BS02.04,RCWP,1234,bin
bin,STR,Stock Room,STR,B,S02,05,STR.B,STR.BS02,STR.BS02.05,CWPA,1234,bin
bin,STR,Stock Room,STR,B,S026,01,STR.B,STR.BS026,STR.BS026.01,,0,bin
bin,STR,Stock Room,STR,B,S026,02,STR.B,STR.BS026,STR.BS026.02,,0,bin
bin,STR,Stock Room,STR,B,S026,03,STR.B,STR.BS026,STR.BS026.03,,0,bin
bin,STR,Stock Room,STR,B,S026,04,STR.B,STR.BS026,STR.BS026.04,,0,bin
bin,STR,Stock Room,STR,B,S03,01,STR.B,STR.BS03,STR.BS03.01,SOYA,1234,bin
bin,STR,Stock Room,STR,B,S03,02,STR.B,STR.BS03,STR.BS03.02,,0,bin
bin,STR,Stock Room,STR,B,S03,03,STR.B,STR.BS03,STR.BS03.03,MGMF,1234,bin
bin,STR,Stock Room,STR,B,S03,04,STR.B,STR.BS03,STR.BS03.04,MGMF,1234,bin
bin,STR,Stock Room,STR,B,S03,05,STR.B,STR.BS03,STR.BS03.05,MMIM,1234,bin
bin,STR,Stock Room,STR,B,S03,06,STR.B,STR.BS03,STR.BS03.06,MMFL,1234,bin
bin,STR,Stock Room,STR,B,S04,01,STR.B,STR.BS04,STR.BS04.01,RJMA,1234,bin
bin,STR,Stock Room,STR,B,S04,02,STR.B,STR.BS04,STR.BS04.02,RRPH,1234,bin
bin,STR,Stock Room,STR,B,S04,03,STR.B,STR.BS04,STR.BS04.03,MGMF,1234,bin
bin,STR,Stock Room,STR,B,S04,04,STR.B,STR.BS04,STR.BS04.04,RRPH,1234,bin
bin,STR,Stock Room,STR,B,S04,05,STR.B,STR.BS04,STR.BS04.05,DHNI,1234,bin
bin,STR,Stock Room,STR,B,S05,01,STR.B,STR.BS05,STR.BS05.01,PJAG,1234,bin
bin,STR,Stock Room,STR,B,S05,02,STR.B,STR.BS05,STR.BS05.02,PJAG,1234,bin
bin,STR,Stock Room,STR,B,S05,03,STR.B,STR.BS05,STR.BS05.03,PJAG,1234,bin
bin,STR,Stock Room,STR,B,S05,04,STR.B,STR.BS05,STR.BS05.04,PJAC,1234,bin
bin,STR,Stock Room,STR,B,S05,05,STR.B,STR.BS05,STR.BS05.05,PJAC,1234,bin
bin,STR,Stock Room,STR,B,S05,06,STR.B,STR.BS05,STR.BS05.06,DHNP,1234,bin
bin,STR,Stock Room,STR,B,S051,01,STR.B,STR.BS051,STR.BS051.01,,0,bin
bin,STR,Stock Room,STR,B,S051,02,STR.B,STR.BS051,STR.BS051.02,,0,bin
bin,STR,Stock Room,STR,B,S051,03,STR.B,STR.BS051,STR.BS051.03,,0,bin
bin,STR,Stock Room,STR,B,S051,04,STR.B,STR.BS051,STR.BS051.04,,0,bin
bin,STR,Stock Room,STR,B,S06,01,STR.B,STR.BS06,STR.BS06.01,CHFL,1234,bin
bin,STR,Stock Room,STR,B,S06,02,STR.B,STR.BS06,STR.BS06.02,CHFL,1234,bin
bin,STR,Stock Room,STR,B,S06,03,STR.B,STR.BS06,STR.BS06.03,PSGR,1234,bin
bin,STR,Stock Room,STR,B,S06,04,STR.B,STR.BS06,STR.BS06.04,PSGR,1234,bin
bin,STR,Stock Room,STR,B,S06,05,STR.B,STR.BS06,STR.BS06.05,DHNP,1234,bin
bin,STR,Stock Room,STR,B,S06,06,STR.B,STR.BS06,STR.BS06.06,,0,bin
bin,STR,Stock Room,STR,B,S07,01,STR.B,STR.BS07,STR.BS07.01,TRMP,1234,bin
bin,STR,Stock Room,STR,B,S07,02,STR.B,STR.BS07,STR.BS07.02,,0,bin
bin,STR,Stock Room,STR,B,S07,03,STR.B,STR.BS07,STR.BS07.03,TRMP,1234,bin
bin,STR,Stock Room,STR,B,S07,04,STR.B,STR.BS07,STR.BS07.04,CHPW,1234,bin
bin,STR,Stock Room,STR,B,S07,05,STR.B,STR.BS07,STR.BS07.05,CHPW,1234,bin
bin,STR,Stock Room,STR,B,S07,06,STR.B,STR.BS07,STR.BS07.06,CHPW,1234,bin
bin,STR,Stock Room,STR,B,S076,01,STR.B,STR.BS076,STR.BS076.01,,0,bin
bin,STR,Stock Room,STR,B,S076,02,STR.B,STR.BS076,STR.BS076.02,,0,bin
bin,STR,Stock Room,STR,B,S076,03,STR.B,STR.BS076,STR.BS076.03,,0,bin
bin,STR,Stock Room,STR,B,S076,04,STR.B,STR.BS076,STR.BS076.04,,0,bin
bin,STR,Stock Room,STR,B,S08,01,STR.B,STR.BS08,STR.BS08.01,JWYF,1234,bin
bin,STR,Stock Room,STR,B,S08,02,STR.B,STR.BS08,STR.BS08.02,BTMR,1234,bin
bin,STR,Stock Room,STR,B,S08,03,STR.B,STR.BS08,STR.BS08.03,FXMR,1234,bin
bin,STR,Stock Room,STR,B,S08,04,STR.B,STR.BS08,STR.BS08.04,KDMR,1234,bin
bin,STR,Stock Room,STR,B,S09,01,STR.B,STR.BS09,STR.BS09.01,BYMR,1234,bin
bin,STR,Stock Room,STR,B,S09,02,STR.B,STR.BS09,STR.BS09.02,WHRV,1234,bin
bin,STR,Stock Room,STR,B,S09,03,STR.B,STR.BS09,STR.BS09.03,LTMR,1234,bin
bin,STR,Stock Room,STR,B,S09,04,STR.B,STR.BS09,STR.BS09.04,BAJR,1234,bin
bin,STR,Stock Room,STR,B,S10,01,STR.B,STR.BS10,STR.BS10.01,WHFL,1234,bin
bin,STR,Stock Room,STR,B,S10,02,STR.B,STR.BS10,STR.BS10.02,MGAT,1234,bin
bin,STR,Stock Room,STR,B,S10,03,STR.B,STR.BS10,STR.BS10.03,RAGF,1234,bin
bin,STR,Stock Room,STR,B,S10,04,STR.B,STR.BS10,STR.BS10.04,JWHF,1234,bin
bin,STR,Stock Room,STR,B,S101,01,STR.B,STR.BS101,STR.BS101.01,,0,bin
bin,STR,Stock Room,STR,B,S101,02,STR.B,STR.BS101,STR.BS101.02,,0,bin
bin,STR,Stock Room,STR,B,S101,03,STR.B,STR.BS101,STR.BS101.03,,0,bin
bin,STR,Stock Room,STR,B,S101,04,STR.B,STR.BS101,STR.BS101.04,,0,bin
bin,STR,Stock Room,STR,B,S11,01,STR.B,STR.BS11,STR.BS11.01,LTMP,1234,bin
bin,STR,Stock Room,STR,B,S11,02,STR.B,STR.BS11,STR.BS11.02,SRMP,1234,bin
bin,STR,Stock Room,STR,B,S11,03,STR.B,STR.BS11,STR.BS11.03,JWJF,1234,bin
bin,STR,Stock Room,STR,B,S11,04,STR.B,STR.BS11,STR.BS11.04,COIL,1234,bin
bin,STR,Stock Room,STR,B,S12,01,STR.B,STR.BS12,STR.BS12.01,BAJF,1234,bin
bin,STR,Stock Room,STR,B,S12,02,STR.B,STR.BS12,STR.BS12.02,BAJF,1234,bin
bin,STR,Stock Room,STR,B,S12,03,STR.B,STR.BS12,STR.BS12.03,RAGF,1234,bin
bin,STR,Stock Room,STR,B,S12,04,STR.B,STR.BS12,STR.BS12.04,SSB,1234,bin
bin,STR,Stock Room,STR,B,S126,01,STR.B,STR.BS126,STR.BS126.01,,0,bin
bin,STR,Stock Room,STR,B,S126,02,STR.B,STR.BS126,STR.BS126.02,,0,bin
bin,STR,Stock Room,STR,B,S126,03,STR.B,STR.BS126,STR.BS126.03,,0,bin
bin,STR,Stock Room,STR,B,S126,04,STR.B,STR.BS126,STR.BS126.04,,0,bin
bin,STR,Stock Room,STR,B,S13,01,STR.B,STR.BS13,STR.BS13.01,DHNI,1234,bin
bin,STR,Stock Room,STR,B,S13,02,STR.B,STR.BS13,STR.BS13.02,SBWR,1234,bin
bin,STR,Stock Room,STR,B,S13,03,STR.B,STR.BS13,STR.BS13.03,RRRV,1234,bin
bin,STR,Stock Room,STR,B,S13,04,STR.B,STR.BS13,STR.BS13.04,FCDL,1234,bin
bin,STR,Stock Room,STR,B,S13,05,STR.B,STR.BS13,STR.BS13.05,DHNI,1234,bin
bin,STR,Stock Room,STR,B,S13,06,STR.B,STR.BS13,STR.BS13.06,RAGR,1234,bin
bin,STR,Stock Room,STR,B,S13,07,STR.B,STR.BS13,STR.BS13.07,SSB,1234,bin
bin,STR,Stock Room,STR,B,S13,08,STR.B,STR.BS13,STR.BS13.08,WSS,1234,bin
bin,STR,Stock Room,STR,B,S14,01,STR.B,STR.BS14,STR.BS14.01,DBRC,1234,bin
bin,STR,Stock Room,STR,B,S14,02,STR.B,STR.BS14,STR.BS14.02,BLRC,1234,bin
bin,STR,Stock Room,STR,B,S14,03,STR.B,STR.BS14,STR.BS14.03,RAGI,1234,bin
bin,STR,Stock Room,STR,B,S14,04,STR.B,STR.BS14,STR.BS14.04,BKRC,1234,bin
bin,STR,Stock Room,STR,B,S14,05,STR.B,STR.BS14,STR.BS14.05,NVRC,1234,bin
bin,STR,Stock Room,STR,B,S14,06,STR.B,STR.BS14,STR.BS14.06,RRUP,1234,bin
bin,STR,Stock Room,STR,B,S15,01,STR.B,STR.BS15,STR.BS15.01,RCSC,1234,bin
bin,STR,Stock Room,STR,B,S15,02,STR.B,STR.BS15,STR.BS15.02,RJRC,1234,bin
bin,STR,Stock Room,STR,B,S15,03,STR.B,STR.BS15,STR.BS15.03,FRUP,1234,bin
bin,STR,Stock Room,STR,B,S15,04,STR.B,STR.BS15,STR.BS15.04,FRPL,1234,bin
bin,STR,Stock Room,STR,B,S15,05,STR.B,STR.BS15,STR.BS15.05,JWWH,1234,bin
bin,STR,Stock Room,STR,B,S15,06,STR.B,STR.BS15,STR.BS15.06,SESL,1234,bin
bin,STR,Stock Room,STR,B,S15,07,STR.B,STR.BS15,STR.BS15.07,CMRC,1234,bin
bin,STR,Stock Room,STR,B,S151,01,STR.B,STR.BS151,STR.BS151.01,,0,bin
bin,STR,Stock Room,STR,B,S151,02,STR.B,STR.BS151,STR.BS151.02,,0,bin
bin,STR,Stock Room,STR,B,S151,03,STR.B,STR.BS151,STR.BS151.03,,0,bin
bin,STR,Stock Room,STR,B,S151,04,STR.B,STR.BS151,STR.BS151.04,,0,bin
bin,STR,Stock Room,STR,B,S16,01,STR.B,STR.BS16,STR.BS16.01,DHNI,1234,bin
bin,STR,Stock Room,STR,B,S16,02,STR.B,STR.BS16,STR.BS16.02,JWHR,1234,bin
bin,STR,Stock Room,STR,B,S16,03,STR.B,STR.BS16,STR.BS16.03,BGSC,1234,bin
bin,STR,Stock Room,STR,B,S16,04,STR.B,STR.BS16,STR.BS16.04,BGHK,1234,bin
bin,STR,Stock Room,STR,B,S16,05,STR.B,STR.BS16,STR.BS16.05,GGDL,1234,bin
bin,STR,Stock Room,STR,B,S17,01,STR.B,STR.BS17,STR.BS17.01,CWPD,1234,bin
bin,STR,Stock Room,STR,B,S17,02,STR.B,STR.BS17,STR.BS17.02,CHBK,1234,bin
bin,STR,Stock Room,STR,B,S17,03,STR.B,STR.BS17,STR.BS17.03,RCWP,1234,bin
bin,STR,Stock Room,STR,B,S17,04,STR.B,STR.BS17,STR.BS17.04,CHDL,1234,bin
bin,STR,Stock Room,STR,B,S17,05,STR.B,STR.BS17,STR.BS17.05,CHDL,1234,bin
bin,STR,Stock Room,STR,B,S17,06,STR.B,STR.BS17,STR.BS17.06,JWYL,1234,bin
bin,STR,Stock Room,STR,B,S17,07,STR.B,STR.BS17,STR.BS17.07,HGDL,1234,bin
bin,STR,Stock Room,STR,B,S17,08,STR.B,STR.BS17,STR.BS17.08,ANPA,1234,bin
bin,STR,Stock Room,STR,B,S17,09,STR.B,STR.BS17,STR.BS17.09,FCDL,1234,bin
bin,STR,Stock Room,STR,B,S17,10,STR.B,STR.BS17,STR.BS17.10,HGWH,1234,bin
bin,STR,Stock Room,STR,B,S17,11,STR.B,STR.BS17,STR.BS17.11,FLXS,1234,bin
bin,STR,Stock Room,STR,B,S17,12,STR.B,STR.BS17,STR.BS17.12,CWPA,1234,bin
bin,STR,Stock Room,STR,B,S17,13,STR.B,STR.BS17,STR.BS17.13,JWWH,1234,bin
bin,STR,Stock Room,STR,B,S176,01,STR.B,STR.BS176,STR.BS176.01,,0,bin
bin,STR,Stock Room,STR,B,S176,02,STR.B,STR.BS176,STR.BS176.02,,0,bin
bin,STR,Stock Room,STR,B,S176,03,STR.B,STR.BS176,STR.BS176.03,,0,bin
bin,STR,Stock Room,STR,B,S176,04,STR.B,STR.BS176,STR.BS176.04,,0,bin
bin,STR,Stock Room,STR,B,S18,01,STR.B,STR.BS18,STR.BS18.01,BTMF,1234,bin
bin,STR,Stock Room,STR,B,S18,02,STR.B,STR.BS18,STR.BS18.02,BYMF,1234,bin
bin,STR,Stock Room,STR,B,S18,03,STR.B,STR.BS18,STR.BS18.03,LTMF,1234,bin
bin,STR,Stock Room,STR,B,S18,04,STR.B,STR.BS18,STR.BS18.04,KDMF,1234,bin
bin,STR,Stock Room,STR,B,S18,05,STR.B,STR.BS18,STR.BS18.05,FXMF,1234,bin
bin,STR,Stock Room,STR,B,S201,01,STR.B,STR.BS201,STR.BS201.01,,0,bin
bin,STR,Stock Room,STR,B,S201,02,STR.B,STR.BS201,STR.BS201.02,,0,bin
bin,STR,Stock Room,STR,B,S201,03,STR.B,STR.BS201,STR.BS201.03,,0,bin
bin,STR,Stock Room,STR,B,S201,04,STR.B,STR.BS201,STR.BS201.04,,0,bin
bin,STR,Stock Room,STR,C,S004,01,STR.C,STR.CS004,STR.CS004.01,,0,bin
bin,STR,Stock Room,STR,C,S004,02,STR.C,STR.CS004,STR.CS004.02,,0,bin
bin,STR,Stock Room,STR,C,S004,03,STR.C,STR.CS004,STR.CS004.03,,0,bin
bin,STR,Stock Room,STR,C,S004,04,STR.C,STR.CS004,STR.CS004.04,,0,bin
bin,STR,Stock Room,STR,C,S01,01,STR.C,STR.CS01,STR.CS01.01,,0,bin
bin,STR,Stock Room,STR,C,S01,02,STR.C,STR.CS01,STR.CS01.02,FLXP,1234,bin
bin,STR,Stock Room,STR,C,S01,03,STR.C,STR.CS01,STR.CS01.03,GNDK,1234,bin
bin,STR,Stock Room,STR,C,S01,04,STR.C,STR.CS01,STR.CS01.04,SCPD,1234,bin
bin,STR,Stock Room,STR,C,S01,05,STR.C,STR.CS01,STR.CS01.05,SBPW,1234,bin
bin,STR,Stock Room,STR,C,S02,01,STR.C,STR.CS02,STR.CS02.01,IMPM,1234,bin
bin,STR,Stock Room,STR,C,S02,02,STR.C,STR.CS02,STR.CS02.02,IMPM,1234,bin
bin,STR,Stock Room,STR,C,S02,03,STR.C,STR.CS02,STR.CS02.03,MGPW,1234,bin
bin,STR,Stock Room,STR,C,S02,04,STR.C,STR.CS02,STR.CS02.04,RSPW,1234,bin
bin,STR,Stock Room,STR,C,S02,05,STR.C,STR.CS02,STR.CS02.05,BKSL,1234,bin
bin,STR,Stock Room,STR,C,S029,01,STR.C,STR.CS029,STR.CS029.01,,0,bin
bin,STR,Stock Room,STR,C,S029,02,STR.C,STR.CS029,STR.CS029.02,,0,bin
bin,STR,Stock Room,STR,C,S029,03,STR.C,STR.CS029,STR.CS029.03,,0,bin
bin,STR,Stock Room,STR,C,S029,04,STR.C,STR.CS029,STR.CS029.04,,0,bin
bin,STR,Stock Room,STR,C,S03,01,STR.C,STR.CS03,STR.CS03.01,KLNJ,1234,bin
bin,STR,Stock Room,STR,C,S03,02,STR.C,STR.CS03,STR.CS03.02,PHPW,1234,bin
bin,STR,Stock Room,STR,C,S03,03,STR.C,STR.CS03,STR.CS03.03,GCHP,1234,bin
bin,STR,Stock Room,STR,C,S03,04,STR.C,STR.CS03,STR.CS03.04,KNDP,1234,bin
bin,STR,Stock Room,STR,C,S03,05,STR.C,STR.CS03,STR.CS03.05,FGRN,1234,bin
bin,STR,Stock Room,STR,C,S04,01,STR.C,STR.CS04,STR.CS04.01,NLVS,1234,bin
bin,STR,Stock Room,STR,C,S04,02,STR.C,STR.CS04,STR.CS04.02,WGRP,1234,bin
bin,STR,Stock Room,STR,C,S04,03,STR.C,STR.CS04,STR.CS04.03,AMLP,1234,bin
bin,STR,Stock Room,STR,C,S04,04,STR.C,STR.CS04,STR.CS04.04,GNMS,1234,bin
bin,STR,Stock Room,STR,C,S04,05,STR.C,STR.CS04,STR.CS04.05,VNKR,1234,bin
bin,STR,Stock Room,STR,C,S05,01,STR.C,STR.CS05,STR.CS05.01,,0,bin
bin,STR,Stock Room,STR,C,S05,02,STR.C,STR.CS05,STR.CS05.02,,0,bin
bin,STR,Stock Room,STR,C,S05,03,STR.C,STR.CS05,STR.CS05.03,,0,bin
bin,STR,Stock Room,STR,C,S05,04,STR.C,STR.CS05,STR.CS05.04,,0,bin
bin,STR,Stock Room,STR,C,S05,05,STR.C,STR.CS05,STR.CS05.05,,0,bin
bin,STR,Stock Room,STR,C,S05,06,STR.C,STR.CS05,STR.CS05.06,,0,bin
bin,STR,Stock Room,STR,C,S05,07,STR.C,STR.CS05,STR.CS05.07,,0,bin
bin,STR,Stock Room,STR,C,S05,08,STR.C,STR.CS05,STR.CS05.08,,0,bin
bin,STR,Stock Room,STR,C,S05,09,STR.C,STR.CS05,STR.CS05.09,,0,bin
bin,STR,Stock Room,STR,C,S05,10,STR.C,STR.CS05,STR.CS05.10,,0,bin
bin,STR,Stock Room,STR,C,S054,01,STR.C,STR.CS054,STR.CS054.01,,0,bin
bin,STR,Stock Room,STR,C,S054,02,STR.C,STR.CS054,STR.CS054.02,,0,bin
bin,STR,Stock Room,STR,C,S054,03,STR.C,STR.CS054,STR.CS054.03,,0,bin
bin,STR,Stock Room,STR,C,S054,04,STR.C,STR.CS054,STR.CS054.04,,0,bin
bin,STR,Stock Room,STR,C,S06,01,STR.C,STR.CS06,STR.CS06.01,COFP,1234,bin
bin,STR,Stock Room,STR,C,S06,02,STR.C,STR.CS06,STR.CS06.02,ALMN,1234,bin
bin,STR,Stock Room,STR,C,S06,03,STR.C,STR.CS06,STR.CS06.03,RGMR,1234,bin
bin,STR,Stock Room,STR,C,S06,04,STR.C,STR.CS06,STR.CS06.04,CKGN,1234,bin
bin,STR,Stock Room,STR,C,S06,05,STR.C,STR.CS06,STR.CS06.05,KSME,1234,bin
bin,STR,Stock Room,STR,C,S07,01,STR.C,STR.CS07,STR.CS07.01,COFP,2468,bin
bin,STR,Stock Room,STR,C,S07,02,STR.C,STR.CS07,STR.CS07.02,ALMN,1234,bin
bin,STR,Stock Room,STR,C,S07,03,STR.C,STR.CS07,STR.CS07.03,,0,bin
bin,STR,Stock Room,STR,C,S07,04,STR.C,STR.CS07,STR.CS07.04,PSLD,1234,bin
bin,STR,Stock Room,STR,C,S07,05,STR.C,STR.CS07,STR.CS07.05,BKSL,1234,bin
bin,STR,Stock Room,STR,C,S079,01,STR.C,STR.CS079,STR.CS079.01,,0,bin
bin,STR,Stock Room,STR,C,S079,02,STR.C,STR.CS079,STR.CS079.02,,0,bin
bin,STR,Stock Room,STR,C,S079,03,STR.C,STR.CS079,STR.CS079.03,,0,bin
bin,STR,Stock Room,STR,C,S079,04,STR.C,STR.CS079,STR.CS079.04,,0,bin
bin,STR,Stock Room,STR,C,S08,01,STR.C,STR.CS08,STR.CS08.01,COFP,1234,bin
bin,STR,Stock Room,STR,C,S08,02,STR.C,STR.CS08,STR.CS08.02,,0,bin
bin,STR,Stock Room,STR,C,S08,03,STR.C,STR.CS08,STR.CS08.03,WGCK,1234,bin
bin,STR,Stock Room,STR,C,S08,04,STR.C,STR.CS08,STR.CS08.04,PMPS,2468,bin
bin,STR,Stock Room,STR,C,S08,05,STR.C,STR.CS08,STR.CS08.05,,0,bin
bin,STR,Stock Room,STR,C,S09,01,STR.C,STR.CS09,STR.CS09.01,CSHW,2468,bin
